source,target,relationship,weight
phone:+918841403786,account:ACC83757,used_account,0.618
phone:+919211239303,account:ACC22722,device_link,0.958
phone:+919680670953,account:ACC12031,device_link,0.844
phone:+919118336937,account:ACC95478,used_account,0.478
phone:+919709078964,account:ACC91230,transferred_to,0.9
phone:+917986475663,account:ACC15690,device_link,0.412
phone:+919457892175,account:ACC54163,called_victim,0.822
phone:+919544020147,account:ACC95277,transferred_to,0.474
phone:+918188273677,account:ACC91862,transferred_to,0.88
phone:+918148159460,account:ACC27852,transferred_to,0.657
phone:+919641012401,account:ACC68935,used_account,0.988
phone:+918320396239,account:ACC23434,used_account,0.388
phone:+918076574557,account:ACC57708,transferred_to,0.952
phone:+917231720029,account:ACC24839,device_link,0.659
phone:+918827508397,account:ACC64527,transferred_to,0.534
phone:+918580522106,account:ACC37388,called_victim,0.609
phone:+919259246754,account:ACC35159,called_victim,0.575
phone:+917247943540,account:ACC45015,transferred_to,0.886
phone:+918618295424,account:ACC83464,transferred_to,0.881
phone:+917286767562,account:ACC62985,called_victim,0.283
phone:+919300163754,account:ACC44740,transferred_to,0.424
phone:+918287333742,account:ACC48284,transferred_to,0.223
phone:+919907204097,account:ACC42106,called_victim,0.511
phone:+919348171686,account:ACC99648,device_link,0.415
phone:+919097641389,account:ACC20056,used_account,0.602
phone:+919797344604,account:ACC92542,transferred_to,0.843
phone:+917298580086,account:ACC20160,device_link,0.493
phone:+918136835491,account:ACC70819,used_account,0.773
phone:+919346678344,account:ACC52881,called_victim,0.982
phone:+917139224660,account:ACC84956,device_link,0.796
phone:+917254489922,account:ACC64735,transferred_to,0.93
phone:+918537390966,account:ACC64366,transferred_to,0.616
phone:+919352959567,account:ACC82348,called_victim,0.904
phone:+918310281555,account:ACC53928,transferred_to,0.264
phone:+917407527924,account:ACC61072,called_victim,0.643
phone:+918587632536,account:ACC83703,called_victim,0.638
phone:+918185678647,account:ACC43964,transferred_to,0.575
phone:+917389056575,account:ACC52082,device_link,0.828
phone:+917543392945,account:ACC78701,device_link,0.272
phone:+918653646396,account:ACC51837,transferred_to,0.545
